"","Sample","Eruption","Volume.km3.","num_min_age.wrt2000AD.","num_max_age.wrt2000AD.","Reference","Zone","SiO2","TiO2","Al2O3","FeOt","MgO","CaO","Na2O","K2O"
"129","l9315","Kviholafjoll",0.06,12000,70000,"Maclennan2001","NNVZ",49.08,1.22,15.21,10.91,9.62,11.44,2.02,0.2
"130","l9361","Storavitishraun",18.4,11300,11300,"Slater2001","NNVZ",49.22,0.97,15.15,10.28,8.92,13.24,1.89,0.06
"131","FH9868","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.738,0.736,14.31,9.482,11.91,12.908,1.634,0.05
"132","KK4@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.64,1.19,14.13,11.26,7.72,12.56,2.07,0.13
"133","Krafla_4","Myvatnseldar",0.25,271,271,NA,"NNVZ",50.39,2.056,13.54,14.37,5.88,10.5,2.48,0.34
"134","Krafla_3","Myvatnseldar",0.25,271,271,NA,"NNVZ",50.24,2.089,13.57,14.41,5.95,10.47,2.47,0.34
"135","FH9856","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.58,0.714,14.444,9.424,12.203,12.685,1.669,0.06
"136","l9497","Bondholshraun",0.2,8500,10300,"Slater2001","NNVZ",49.34,0.72,15.16,9.54,10.69,12.41,1.84,0.08
"137","l9463","Gaesafjoll",7,12000,70000,"Maclennan2001","NNVZ",47,1.68,14.57,11.47,11.88,11.08,1.83,0.15
"138","l9491","Gaesafjoll",7,12000,70000,"Maclennan2001","NNVZ",48.07,1.97,15.23,11.6,8.9,11.68,2,0.17
"139","KK151","Gaesafjoll",7,12000,70000,"Maclennan2001","NNVZ",47.66,2.11,15.08,12.02,8.38,12.25,1.9,0.17
"140","KK30","Gaesafjoll",7,12000,70000,"Maclennan2001","NNVZ",47.52,1.92,15.02,11.68,9.56,11.66,2.04,0.2
"141","l9316","Kviholafjoll",0.06,12000,70000,"Maclennan2001","NNVZ",48.96,1.24,14.97,11.05,9.8,11.5,1.97,0.2
